Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
913	3.23027	2.02803	0.787707	0.926288	0.970951	100	0.659624	0.659624
914	4.72116	2.45177	0.775849	0.979844	0.98021	100	0.658659	0.658659
915	5.54943	2.65815	0.575373	0.860292	0.978613	61.271	0.6567	0.6567
916	3.72723	2.17845	0.849002	0.903713	0.951023	100	0.65534	0.65534
917	9.6908	3.51265	0.695397	0.859204	0.941049	60.6346	0.654586	0.654586
918	4.88681	2.49441	0.657296	0.934353	0.989691	100	0.652161	0.652161
919	5.96357	2.75555	0.835818	0.902918	0.994379	100	0.636727	0.636727
920	13.7493	4.18404	0.557774	0.842454	0.930529	52.6256	0.630548	0.630548
921	6.0464	2.77462	0.631745	0.834045	1	49.4684	0.628981	0.628981
922	7.95142	3.18183	0.802059	0.896846	0.943462	100	0.622761	0.622761
923	7.37163	3.06363	0.704948	0.884748	0.904379	89.0824	0.620959	0.620959
924	3.6444	2.15411	0.792286	0.928914	0.976555	100	0.620564	0.620564
925	5.79791	2.71701	0.615121	0.890273	0.996112	100	0.617996	0.617996
926	21.121	5.18576	0.767105	0.923695	0.972537	100	0.6175	0.6175
927	9.35949	3.45208	0.668211	0.885474	0.995336	92.0854	0.609783	0.609783
928	7.28881	3.04637	0.703461	0.89947	0.981856	100	0.60732	0.60732
929	3.97571	2.2499	0.951972	0.927302	0.99983	100	0.606362	0.606362
930	5.4666	2.63824	0.876406	0.950029	0.983454	100	0.605942	0.605942
931	72.3083	9.59509	0.694945	0.781736	0.814992	35.9552	0.604786	0.604786
932	3.31309	2.05386	0.617129	0.879709	0.984232	78.4032	0.60393	0.60393
933	19.3816	4.96764	0.654411	0.801002	0.89124	40.0675	0.601076	0.601076
934	4.30702	2.34177	0.798264	0.916247	0.95947	100	0.600342	0.600342
935	4.22419	2.31914	0.655782	0.907375	0.994748	100	0.599993	0.599993
936	88.3768	10.6078	0.694964	0.693573	0.806413	23.266	0.599199	0.599199
937	15.6544	4.4645	0.733484	0.866965	0.94851	65.6509	0.599178	0.599178
938	3.31309	2.05386	0.617267	0.87974	0.995435	78.4486	0.597893	0.597893
939	6.0464	2.77462	0.784238	0.937291	0.992017	100	0.593497	0.593497
940	4.30702	2.34177	0.845292	0.916247	0.986331	100	0.591402	0.591402
941	3.39592	2.07938	0.846688	0.927031	0.975241	100	0.587528	0.587528
942	4.30702	2.34177	0.841736	0.916247	1	100	0.57966	0.57966
943	25.3452	5.68071	0.542262	0.685755	0.787843	22.4409	0.573549	0.573549
944	10.2706	3.6162	0.654683	0.940508	0.969833	100	0.573157	0.573157
945	21.7836	5.26647	0.800344	0.7999	0.910853	39.8113	0.570984	0.570984
946	3.31309	2.05386	0.617279	0.87974	0.995435	78.4486	0.56732	0.56732
947	7.37163	3.06363	0.802987	0.96298	0.988922	100	0.566576	0.566576
948	4.47268	2.38638	0.850966	0.9145	0.973189	100	0.560677	0.560677
949	36.7753	6.84279	0.852622	0.896118	0.937085	100	0.557986	0.557986
950	15.7372	4.47629	0.778524	0.753245	0.859136	30.987	0.554853	0.554853
951	3.81006	2.20252	0.949137	0.981926	0.965026	100	0.545869	0.545869
952	4.30702	2.34177	0.822506	0.872048	0.989228	69.7554	0.544613	0.544613
953	16.8139	4.6269	0.722527	0.852962	0.936782	57.3062	0.539121	0.539121
954	4.72116	2.45177	0.585479	0.895097	1	100	0.53632	0.53632
955	6.79184	2.94069	0.590875	0.832566	0.953106	48.9551	0.522136	0.522136
956	3.31309	2.05386	0.854043	0.954648	0.99374	100	0.521758	0.521758
957	4.38985	2.36418	0.661517	0.938968	0.993623	100	0.515868	0.515868
958	3.23027	2.02803	0.787908	0.926299	0.965166	100	0.514348	0.514348
959	3.31309	2.05386	0.617131	0.879709	0.984232	78.4032	0.495886	0.495886
960	17.8907	4.77275	0.521158	0.865261	0.944521	64.4424	0.495253	0.495253
961	6.87467	2.95856	0.627044	0.850553	0.972538	56.1439	0.494704	0.494704
962	6.12922	2.79356	0.740404	0.926891	0.965785	100	0.493252	0.493252
963	28.7411	6.04932	0.497271	0.796858	0.930948	39.1185	0.491346	0.491346
964	6.9575	2.97633	0.561727	0.837378	0.951843	50.6686	0.488674	0.488674
965	3.31309	2.05386	0.818478	0.900416	0.99374	100	0.484414	0.484414
966	8.11708	3.21481	0.750917	0.812082	0.903218	42.8155	0.483687	0.483687
967	3.72723	2.17845	0.999846	1	0.969842	100	0.48209	0.48209
968	70.5689	9.47898	0.727137	0.873206	0.899909	70.8248	0.467345	0.467345
